iter	Passed	Remaining
598	96876	64853
599	97043	64695
600	97206	64534
601	97378	64379
602	97536	64215
603	97707	64059
604	97888	63910
605	98046	63746
606	98226	63596
607	98384	63431
608	98594	63300
609	98732	63123
610	98900	62966
611	99073	62811
612	99235	62649
613	99422	62503
614	99591	62345
615	99764	62190
616	99933	62033
617	100087	61866
618	100262	61712
619	100439	61559
620	100592	61392
621	100737	61219
622	100921	61071
623	101092	60914
624	101243	60745
625	101384	60571
626	101548	60410
627	101726	60258
628	101873	60087
629	102011	59911
630	102159	59741
631	102332	59585
632	102487	59420
633	102653	59260
634	102815	59098
635	102979	58938
636	103167	58790
637	103332	58630
638	103481	58461
639	103632	58293
640	103782	58124
641	103927	57953
642	104093	57793
643	104277	57643
644	104440	57482
645	104577	57307
646	104737	57144
647	104927	56997
648	105079	56830
649	105347	56725
650	105566	56594
651	105740	56437
652	105906	56278
653	106092	56128
654	106258	55968
655	106421	55806
656	106574	55639
657	106736	55476
658	106891	55311
659	107074	55159
660	107237	54997
661	107400	54835
662	107543	54663
663	107725	54511
664	107901	54356
665	108064	54194
666	108227	54032
667	108365	53858
668	108517	53690
669	108685	53531
670	108848	53369
671	109018	53211
672	109183	53050
673	109359	52894
674	109497	52720
675	109677	52567
676	109836	52403
677	109987	52235
678	110170	52083
679	110335	51922
680	110495	51759
681	110647	51592
682	110815	51432
683	110990	51276
684	111145	51110
685	111290	50940
686	111449	50776
687	111615	50616
688	111778	50454
689	111951	50296
690	112105	50131
691	112287	49977
692	112495	49835
693	112634	49663
694	112769	49488
695	112933	49327
696	113127	49178
697	113307	49024
698	113486	48868
699	113655	48709
700	113808	48543
701	113948	48371
702	114077	48194
703	114250	48037
704	114427	47881
705	114597	47721
706	114774	47565
707	114945	47406
708	115113	47246
709	115301	47095
710	115457	46930
711	115637	46774
712	115814	46618
713	115984	46458
714	116112	46282
715	116266	46117
716	116416	45949
717	116574	45785
718	116736	45623
719	116861	45445
720	117021	45283
721	117191	45123
722	117354	44961
723	117515	44798
724	117695	44643
725	117875	44487
726	118036	44324
727	118212	44167
728	118389	44010
729	118568	43853
730	118760	43702
731	118919	43538
732	119086	43377
733	119257	43218
734	119423	43057
735	119593	42897
736	119755	42734
737	119961	42588
738	120177	42444
739	120327	42277
740	120517	42124
741	120702	41969
742	120876	41810
743	121089	41665
744	121287	41514
745	121445	41349
746	121621	41191
747	121823	41042
748	122029	40893
749	122236	40745
750	122415	40587
751	122581	40425
752	122774	40272
753	122908	40100
754	123105	39948
755	123298	39794
756	123483	39638
757	123662	39480
758	123824	39317
759	123993	39155
760	124182	39000
761	124360	38842
762	124531	38681
763	124677	38512
764	124846	38351
765	125013	38189
766	125185	38028
767	125322	37857
768	125464	37688
769	125642	37529
770	125810	37367
771	125991	37210
772	126158	37047
773	126327	36886
774	126469	36717
775	126640	36556
776	126819	36397
777	126991	36236
778	127173	36078
779	127327	35912
780	127464	35742
781	127659	35588
782	127799	35418
783	127961	35254
784	128127	35092
785	128307	34933
786	128463	34768
787	128636	34607
788	128798	34444
789	128987	34287
790	129174	34130
791	129391	33981
792	129571	33822
793	129748	33662
794	129892	33494
795	130081	33337
796	130257	33177
797	130410	33011
798	130600	32854
799	130794	32698
800	130966	32537
801	131160	32381
802	131317	32216
803	131494	32055
804	131656	31891
805	131838	31732
806	132005	31570
807	132164	31405
808	132298	31234
809	132456	31070
810	132629	30908
811	132797	30746
812	133003	30592
813	133162	30427
814	133313	30261
815	133477	30097
816	133649	29936
817	133797	29769
818	133957	29604
819	134114	29439
820	134272	29274
821	134453	29115
822	134606	28949
823	134770	28785
824	134943	28624
825	135140	28467
826	135314	28306
827	135493	28145
828	135638	27978
829	135808	27816
830	135975	27653
831	136134	27488
832	136289	27323
833	136459	27160
834	136622	26997
835	136798	26836
836	136977	26675
837	137131	26509
838	137291	26345
839	137452	26181
840	137629	26020
841	137800	25858
842	137960	25693
843	138142	25533
844	138293	25367
845	138440	25200
846	138652	25045
847	138874	24892
848	139035	24728
849	139214	24567
850	139368	24401
851	139518	24235
852	139659	24067
853	139832	23905
854	139992	23741
855	140152	23577
856	140338	23417
857	140510	23254
858	140678	23091
859	140853	22929
860	140999	22763
861	141161	22598
862	141347	22438
863	141503	22273
864	141656	22108
865	141836	21946
866	142000	21783
867	142163	21619
868	142334	21456
869	142494	21292
870	142650	21127
871	142783	20958
872	142950	20795
873	143127	20633
874	143264	20466
875	143434	20303
876	143600	20140
877	143746	19973
878	143919	19811
879	144075	19646
880	144219	19480
881	144388	19317
882	144549	19153
883	144712	18989
884	144869	18824
885	145058	18664
886	145218	18500
887	145371	18335
888	145543	18172
889	145697	18007
890	145866	17844
891	146016	17679
892	146190	17516
893	146370	17354
894	146529	17190
895	146692	17026
896	146855	16863
897	147024	16699
898	147185	16535
899	147345	16371
900	147514	16208
901	147701	16047
902	147883	15885
903	148039	15720
904	148207	15557
905	148379	15394
906	148533	15229
907	148699	15066
908	148882	14904
909	149029	14739
910	149212	14577
911	149386	14414
912	149556	14251
913	149736	14089
914	149870	13922
915	150040	13759
916	150199	13594
917	150386	13433
918	150555	13269
919	150717	13105
920	150884	12942
921	151015	12775
922	151166	12610
923	151342	12448
924	151486	12282
925	151639	12118
926	151808	11954
927	151972	11790
928	152147	11628
929	152306	11463
930	152452	11298
931	152598	11133
932	152778	10971
933	152916	10805
934	153076	10641
935	153249	10478
936	153409	10314
937	153529	10148
938	153672	9982
939	153840	9819
940	153973	9654
941	154116	9489
942	154268	9324
943	154434	9161
944	154592	8997
945	154740	8832
946	154926	8670
947	155077	8506
948	155244	8342
949	155406	8179
950	155557	8015
951	155724	7851
952	155882	7687
953	156045	7524
954	156207	7360
955	156361	7196
956	156502	7031
957	156670	6868
958	156811	6704
959	156927	6538
960	157093	6375
961	157249	6211
962	157409	6047
963	157562	5884
964	157715	5720
965	157883	5556
966	158025	5392
967	158187	5229
968	158348	5065
969	158531	4903
970	158704	4739
971	158877	4576
972	159052	4413
973	159223	4250
974	159395	4087
975	159561	3923
976	159718	3760
977	159872	3596
978	160052	3433
979	160230	3270
980	160410	3106
981	160559	2943
982	160718	2779
983	160873	2615
984	161014	2451
985	161163	2288
986	161324	2124
987	161484	1961
988	161634	1797
989	161801	1634
990	161981	1471
991	162130	1307
992	162284	1144
993	162453	980
994	162601	817
995	162761	653
996	162925	490
997	163085	326
998	163229	163
999	163383	0
